experiment_name,max_frequency,condition_name,requested_snr_db,manifest_rows,npy_file_count,npy_count_matches_manifest,source_wav_groups,heat_flux_levels,realized_snr_mean_db,realized_snr_median_db,realized_snr_std_db,realized_snr_min_db,realized_snr_max_db,mean_signal_chunk_power,mean_scaled_noise_chunk_power,fixed_reference_signal_rms,noise_scaling_mode,pair_noise_across_snr,max_relative_noise_power_error,chunk_manifest_sha256
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,780,780,True,13,13,2.771706424,-4.696573623,13.62731225,-7.141481805,33.05520449,3.937369515e-05,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,24daffcf04c856e45d1956cb3792630bb8965b939737a852e9d78d8badf5f279
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_no_noise,,780,780,True,13,13,,,,,,3.937369515e-05,,0.0004822199855,fixed_global_rms,True,,f161f5a19a2a3295f265e4cd744583473deb5417e039c6a7058335319423ff66
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=-12,-12,780,780,True,13,13,-9.228293576,-16.69657362,13.62731225,-19.14148181,21.05520449,3.937369515e-05,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,91a0be45c32d181dc6025f7717ada9a138fdf01e0de3a01eecd8031d8d1d3bbc
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=-16,-16,780,780,True,13,13,-13.22829358,-20.69657362,13.62731225,-23.14148181,17.05520449,3.937369515e-05,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,4d2d7d39d80e768fcb9e17becff5fafad66ba06b5f6ad0851ae74e719e169537
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=-20,-20,780,780,True,13,13,-17.22829358,-24.69657362,13.62731225,-27.14148181,13.05520449,3.937369515e-05,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,d5e32d95b6446cbf4b2384c2aa5d6fbed629f5e0954783b0c80b6c64127b84fc
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=-4,-4,780,780,True,13,13,-1.228293576,-8.696573623,13.62731225,-11.14148181,29.05520449,3.937369515e-05,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,cbf66bcfca7ea1c80bb6ca1ebe9ce57f2d9c072adcc4addbae7e4dcd73ed8620
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=-8,-8,780,780,True,13,13,-5.228293576,-12.69657362,13.62731225,-15.14148181,25.05520449,3.937369515e-05,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,3e7ee6f4f7146b273c5156a95b2603182df086174a435359bf0ed7aa7d3fe7ed
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_reference_SNR=0,0,780,780,True,13,13,2.771706424,-4.696573623,13.62731225,-7.141481805,33.05520449,3.937369515e-05,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,24daffcf04c856e45d1956cb3792630bb8965b939737a852e9d78d8badf5f279
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_no_noise,,780,780,True,13,13,,,,,,3.937369515e-05,,0.0004822199855,fixed_global_rms,True,,f161f5a19a2a3295f265e4cd744583473deb5417e039c6a7058335319423ff66
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=-12,-12,780,780,True,13,13,-9.228293576,-16.69657362,13.62731225,-19.14148181,21.05520449,3.937369515e-05,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,91a0be45c32d181dc6025f7717ada9a138fdf01e0de3a01eecd8031d8d1d3bbc
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=-16,-16,780,780,True,13,13,-13.22829358,-20.69657362,13.62731225,-23.14148181,17.05520449,3.937369515e-05,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,4d2d7d39d80e768fcb9e17becff5fafad66ba06b5f6ad0851ae74e719e169537
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=-20,-20,780,780,True,13,13,-17.22829358,-24.69657362,13.62731225,-27.14148181,13.05520449,3.937369515e-05,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,d5e32d95b6446cbf4b2384c2aa5d6fbed629f5e0954783b0c80b6c64127b84fc
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,780,780,True,13,13,-1.228293576,-8.696573623,13.62731225,-11.14148181,29.05520449,3.937369515e-05,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,cbf66bcfca7ea1c80bb6ca1ebe9ce57f2d9c072adcc4addbae7e4dcd73ed8620
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,780,780,True,13,13,-5.228293576,-12.69657362,13.62731225,-15.14148181,25.05520449,3.937369515e-05,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,3e7ee6f4f7146b273c5156a95b2603182df086174a435359bf0ed7aa7d3fe7ed
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_reference_SNR=0,0,780,780,True,13,13,2.771706424,-4.696573623,13.62731225,-7.141481805,33.05520449,3.937369515e-05,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,24daffcf04c856e45d1956cb3792630bb8965b939737a852e9d78d8badf5f279
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_no_noise,,780,780,True,13,13,,,,,,3.937369515e-05,,0.0004822199855,fixed_global_rms,True,,f161f5a19a2a3295f265e4cd744583473deb5417e039c6a7058335319423ff66
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,780,780,True,13,13,-9.228293576,-16.69657362,13.62731225,-19.14148181,21.05520449,3.937369515e-05,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,91a0be45c32d181dc6025f7717ada9a138fdf01e0de3a01eecd8031d8d1d3bbc
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,780,780,True,13,13,-13.22829358,-20.69657362,13.62731225,-23.14148181,17.05520449,3.937369515e-05,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,4d2d7d39d80e768fcb9e17becff5fafad66ba06b5f6ad0851ae74e719e169537
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,780,780,True,13,13,-17.22829358,-24.69657362,13.62731225,-27.14148181,13.05520449,3.937369515e-05,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,d5e32d95b6446cbf4b2384c2aa5d6fbed629f5e0954783b0c80b6c64127b84fc
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,780,780,True,13,13,-1.228293576,-8.696573623,13.62731225,-11.14148181,29.05520449,3.937369515e-05,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,cbf66bcfca7ea1c80bb6ca1ebe9ce57f2d9c072adcc4addbae7e4dcd73ed8620
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,780,780,True,13,13,-5.228293576,-12.69657362,13.62731225,-15.14148181,25.05520449,3.937369515e-05,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,3e7ee6f4f7146b273c5156a95b2603182df086174a435359bf0ed7aa7d3fe7ed
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=0,0,780,780,True,13,13,2.771706424,-4.696573623,13.62731225,-7.141481805,33.05520449,3.937369515e-05,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,24daffcf04c856e45d1956cb3792630bb8965b939737a852e9d78d8badf5f279
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_no_noise,,780,780,True,13,13,,,,,,3.937369515e-05,,0.0004822199855,fixed_global_rms,True,,f161f5a19a2a3295f265e4cd744583473deb5417e039c6a7058335319423ff66
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,780,780,True,13,13,-9.228293576,-16.69657362,13.62731225,-19.14148181,21.05520449,3.937369515e-05,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,91a0be45c32d181dc6025f7717ada9a138fdf01e0de3a01eecd8031d8d1d3bbc
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,780,780,True,13,13,-13.22829358,-20.69657362,13.62731225,-23.14148181,17.05520449,3.937369515e-05,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,4d2d7d39d80e768fcb9e17becff5fafad66ba06b5f6ad0851ae74e719e169537
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,780,780,True,13,13,-17.22829358,-24.69657362,13.62731225,-27.14148181,13.05520449,3.937369515e-05,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,d5e32d95b6446cbf4b2384c2aa5d6fbed629f5e0954783b0c80b6c64127b84fc
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,780,780,True,13,13,-1.228293576,-8.696573623,13.62731225,-11.14148181,29.05520449,3.937369515e-05,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,cbf66bcfca7ea1c80bb6ca1ebe9ce57f2d9c072adcc4addbae7e4dcd73ed8620
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,780,780,True,13,13,-5.228293576,-12.69657362,13.62731225,-15.14148181,25.05520449,3.937369515e-05,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,3e7ee6f4f7146b273c5156a95b2603182df086174a435359bf0ed7aa7d3fe7ed
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=0,0,780,780,True,13,13,2.771706424,-4.696573623,13.62731225,-7.141481805,33.05520449,3.937369515e-05,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,24daffcf04c856e45d1956cb3792630bb8965b939737a852e9d78d8badf5f279
